"date","spy_return","rv_21","rv_42","rv_63","momentum_21","momentum_63","ma_gap_21","ma_gap_63","vxx_return","tlt_return","gld_return","qqq_return","iwm_return"
2018-09-18,0.00541167605882187,0.016876152188883,0.0282892801633252,0.0395175468707271,0.0205221355978897,0.0559348223029994,0.00709030341366002,0.0302533580842808,-0.00533340022921536,-0.0105145897106222,-0.00149745164877757,0.00823792901781317,0.00417875714841909
2018-09-19,0.00106494659996059,0.0167740558366166,0.0282862346151905,0.0394951274931025,0.0194279746395261,0.0552596477402088,0.00724182749850022,0.0304677240558917,-0.0351931595427182,-0.00598528142711352,0.00387115398624438,-0.000766063412405593,-0.00364824855684009
2018-09-20,0.00807131120618632,0.0184668926535362,0.0293565373180437,0.0398179086940436,0.0252844990157233,0.0705223055907216,0.0141951391757291,0.0376914129734951,-0.0163816224656284,0.00462041136804014,0.00341880148978646,0.0109955830546244,0.00921187932184608
2018-09-21,-0.000914074918431318,0.0184799564747684,0.0289387283583366,0.0397867250214445,0.0249564094938415,0.0675978031136306,0.0120794720998731,0.0356641866760685,-0.00278162062515364,-0.000427101834449495,-0.0068493312914315,-0.00548259144592755,-0.00480073435259243
2018-09-24,-0.00332757012369544,0.0187300799743882,0.0278658002564983,0.0374992276635939,0.0229097682281016,0.0787358696143736,0.00763328681698838,0.0309907187479119,0.00390713891864714,-0.0025650670022257,-0.000176212929145159,0.00277704797318101,-0.00370407267704032
2018-09-25,-0.000928438478815075,0.0177672155973331,0.0277810464059632,0.0374454603188261,0.0158467618813634,0.0753538126717701,0.00594593719073999,0.0288552085761513,0.00933016655603769,-0.00102805093063196,0.00158506816384207,0.00135885975539907,0.00153029348512312
2018-09-26,-0.00299662030445447,0.016211476977054,0.027102277057535,0.0366324602087225,0.0048737817473552,0.08109246864347,0.00270374763718095,0.0245254600867528,0.00296735839370399,0.00700338143154688,-0.00529333800593434,0.000705540915269864,-0.00918206666694221
2018-09-27,0.00279024893803825,0.0164427481279964,0.0267374057700765,0.0362934871624801,0.00719472320557935,0.0779498729999317,0.0051616509153225,0.0261779988742727,-0.00967630289006305,0.000680271750443495,-0.00888499823612499,0.00843030253029475,5.95603756119445e-05
2018-09-28,0.000103132144506191,0.0155426726688699,0.0262815335406559,0.0362651052622931,0.00190735701250477,0.0765111103985938,0.00517371831596103,0.0250969806722354,-0.00149696913355424,-0.0026398289036651,0.00631645770822242,-0.00021548607421451,0.00303049778186448
2018-10-01,0.00346815226503061,0.0153995728921738,0.02645659292137,0.03636792731833,0.0094748860745737,0.0779468225162614,0.00821134064903961,0.0274452625834898,-0.0112995982780504,-0.00736845644394268,-0.0016864375351151,0.00204339648736429,-0.0132589710669349
2018-10-02,-0.000582649147814251,0.0154105525363194,0.0258993095231497,0.0362002051429434,0.00885200042206713,0.0811362250596299,0.00720003620560838,0.0255922865521006,0,0.00609423846762347,0.0114822232871195,-0.00225849806681211,-0.0108804715687461
2018-10-03,0.00054850928665573,0.0153236258096587,0.025549824355667,0.0352809669027749,0.0111473232509025,0.072976390180238,0.00721978394288114,0.0250194626671718,-0.0076045558157869,-0.0175235005094674,-0.00395974450098358,0.00107607865033632,0.00871409004174861
2018-10-04,-0.00784640056357233,0.0170034315928097,0.0264756603738353,0.0351478305881923,0.0059518541779684,0.0556612146412063,-0.000933639678087905,0.0161433180055588,0.0592765533658541,-0.00707917944359959,0.000528913080514393,-0.0193855525704967,-0.0141387022114898
2018-10-05,-0.00561274422596103,0.017650312735297,0.0268625075899933,0.0344459173686593,0.0033413440802943,0.0403848167751395,-0.00668193049543919,0.00982723468580926,0.015703411267431,-0.00863226086276203,0.00281590898670991,-0.0123026477200261,-0.00908494333062304
2018-10-08,0,0.0175427993033412,0.0268592165478897,0.0342580827492625,0.00529492482638938,0.0366540938044382,-0.00692933949941987,0.00925523451264576,0.0140649162611277,-0.00336720227376475,-0.0111338263688259,-0.00612458927130621,-0.00209927757345962
2018-10-09,-0.00146022038726024,0.0175175802268852,0.0268641444640033,0.0334940275572935,0.00208612013218912,0.0427689793380066,-0.00847585179835764,0.00712180679380947,0.015246329260445,0.0100679488583397,0.000532980014008366,0.00323401619821162,-0.00390038984511687
2018-10-10,-0.0321752811506748,0.0364866657123888,0.0413730596473234,0.0455592320874918,-0.0328323030878348,0.000679363919456444,-0.038378143486278,-0.0247771050833441,0.154838226435414,-0.00272764766216227,0.00248358105841717,-0.0449753707615415,-0.0291447065127182
2018-10-11,-0.0222729477640078,0.0427469578510171,0.0468374988178944,0.0507060991761416,-0.0543647374458028,-0.0221322021189143,-0.0571320503930062,-0.0459311836161734,0.0822380923231734,0.0120864113600856,0.0253665448948777,-0.0124812237881882,-0.0192825904037681
2018-10-12,0.0137928992389762,0.0445282919453086,0.0484101839071556,0.0525409620079629,-0.0468687901317821,-0.0076640183746417,-0.0418923637060484,-0.0325659144291991,-0.078709746084761,-0.00348872907974673,-0.00476166794917265,0.0274504232247823,0.000194837398987069
2018-10-15,-0.0056329004884903,0.0448828342834742,0.0481570380556796,0.0526876007768458,-0.0523854678981986,-0.017213758798135,-0.0448786713247314,-0.0377426942295492,0.00585312652852377,-0.000436627354931218,0.00666003094797585,-0.012178331472124,0.00370450259562549
2018-10-16,0.0216305191701096,0.0495395600301711,0.0521731190552461,0.0569161388199555,-0.0265107069565417,0.00216785251777174,-0.0227569650685472,-0.0167350245002807,-0.0660375091680061,0.00226953971051103,-0.00172559961377416,0.0286772854335826,0.0285815277910197
2018-10-17,0.000178249013608855,0.0492434111625927,0.0520549522680647,0.0567908171722089,-0.031592084045127,0.00614165396197852,-0.0210964087111623,-0.016653443008765,0.0117756938055829,-0.00594658376173296,-8.63779616206983e-05,0.000394781643960229,-0.00429547524585505
2018-10-18,-0.0145463810813631,0.0513359195323472,0.0540069031091541,0.058613033558563,-0.046592821976939,-0.0072540863854822,-0.0330619338626299,-0.0307450916841847,0.0710445595406863,-0.000351474820289965,0.00112206868560616,-0.0234552562280337,-0.0189171786629627
2018-10-19,-0.000543176960634106,0.0507003511906484,0.0539587966427376,0.058586106664983,-0.054770662303159,-0.0096346351412705,-0.0310031040842711,-0.0311264922634105,-0.0167827441782631,-0.00219600112299823,0.000776130484927862,-0.000923938392154433,-0.0106366376324623
2018-10-22,-0.00449843028814634,0.050891315103423,0.0541427256818977,0.0585437951618571,-0.0581526354377093,-0.0190157983571628,-0.0326085546033583,-0.0351887832648126,0.00900518396232375,-0.00132013605667947,-0.002589359725512,0.00513069122052734,-0.00215413943552889
2018-10-23,-0.00510380357053286,0.0510382409661066,0.0543665148484004,0.0581498483648016,-0.0598240913410664,-0.0322574436390191,-0.0347182934804053,-0.0396126904214874,0.0371831549469359,0.00316528717127262,0.00585956273386845,-0.0036869850523118,-0.00899283311008947
2018-10-24,-0.030766932754287,0.0595872821499037,0.0621797245418018,0.0657451955158893,-0.0874631206628821,-0.0593595210944466,-0.0599487823315966,-0.0678413730879903,0.0743467816799255,0.00752073717739599,0.00231713700693081,-0.0468472507051247,-0.038377102276101
