"date","actual","logit_prob","rf_prob","xgb_prob","train_end_date","risk_score","risk_regime"
2022-09-08,1,0.278663996863765,0.71,0.745748698711395,2022-09-07,0.71,"High"
2022-09-09,1,0.117194702504898,0.36,0.432082563638687,2022-09-07,0.36,"Medium"
2022-09-12,1,0.0651094690427668,0.166666666666667,0.292338520288467,2022-09-07,0.166666666666667,"Low"
2022-09-13,1,0.0331860617831857,0.333333333333333,0.158586159348488,2022-09-07,0.333333333333333,"Medium"
2022-09-14,1,0.030780046228763,0.213333333333333,0.164995223283768,2022-09-07,0.213333333333333,"Low"
2022-09-15,1,0.03626253576704,0.24,0.18075242638588,2022-09-07,0.24,"Low"
2022-09-16,0,0.0222194856483394,0.253333333333333,0.321150630712509,2022-09-07,0.253333333333333,"Low"
2022-09-19,1,0.0113581216542033,0.236666666666667,0.229441225528717,2022-09-07,0.236666666666667,"Low"
2022-09-20,0,0.0368795487417675,0.26,0.321150630712509,2022-09-07,0.26,"Low"
2022-09-21,0,0.0252777317502011,0.28,0.304952651262283,2022-09-07,0.28,"Low"
2022-09-22,0,0.0548373944996737,0.5,0.31048384308815,2022-09-07,0.5,"Medium"
2022-09-23,0,0.102661538165511,0.29,0.429981619119644,2022-09-07,0.29,"Low"
2022-09-26,0,0.0809560035026663,0.266666666666667,0.495833963155746,2022-09-07,0.266666666666667,"Low"
2022-09-27,0,0.0429338765489372,0.26,0.435444474220276,2022-09-07,0.26,"Low"
2022-09-28,0,0.0150664004885565,0.34,0.371380358934402,2022-09-07,0.34,"Medium"
2022-09-29,0,0.028567005373556,0.296666666666667,0.524703741073608,2022-09-07,0.296666666666667,"Low"
2022-09-30,0,0.0432535245741239,0.263333333333333,0.526452779769897,2022-09-07,0.263333333333333,"Low"
2022-10-03,0,0.0237238175098623,0.43,0.47268870472908,2022-09-07,0.43,"Medium"
2022-10-04,0,0.0337375904123881,0.523333333333333,0.187594220042229,2022-09-07,0.523333333333333,"Medium"
2022-10-05,0,0.0691407329799155,0.32,0.23713980615139,2022-09-07,0.32,"Low"
2022-10-06,0,0.0405022297398758,0.25,0.23713980615139,2022-09-07,0.25,"Low"
2022-10-07,0,0.0346492468335162,0.223333333333333,0.246714040637016,2022-09-07,0.223333333333333,"Low"
2022-10-10,0,0.0239930277932381,0.2,0.238411098718643,2022-09-07,0.2,"Low"
2022-10-11,0,0.00960623572310902,0.196666666666667,0.243296101689339,2022-09-07,0.196666666666667,"Low"
2022-10-12,0,0.00825406060153943,0.13,0.232630535960197,2022-09-07,0.13,"Low"
2022-10-13,0,0.0141493680145653,0.37,0.260728389024734,2022-09-07,0.37,"Medium"
2022-10-14,0,0.014115810671069,0.223333333333333,0.242606833577156,2022-09-07,0.223333333333333,"Low"
2022-10-17,0,0.0263617108426186,0.4,0.352887779474258,2022-09-07,0.4,"Medium"
2022-10-18,0,0.0195761323736049,0.206666666666667,0.255986213684082,2022-09-07,0.206666666666667,"Low"
2022-10-19,0,0.0475618432577911,0.283333333333333,0.24452830851078,2022-09-07,0.283333333333333,"Low"
2022-10-20,0,0.0388573567349658,0.21,0.233788281679153,2022-09-07,0.21,"Low"
2022-10-21,0,0.0403729331731468,0.436666666666667,0.250121682882309,2022-09-07,0.436666666666667,"Medium"
2022-10-24,0,0.041045037791085,0.356666666666667,0.256583660840988,2022-09-07,0.356666666666667,"Medium"
2022-10-25,0,0.0519381089364065,0.343333333333333,0.273347675800323,2022-09-07,0.343333333333333,"Medium"
2022-10-26,0,0.0682624902891095,0.166666666666667,0.269783228635788,2022-09-07,0.166666666666667,"Low"
2022-10-27,0,0.0877302417875956,0.176666666666667,0.262396037578583,2022-09-07,0.176666666666667,"Low"
2022-10-28,0,0.207578805876784,0.246666666666667,0.365746974945068,2022-09-07,0.246666666666667,"Low"
2022-10-31,0,0.193101538911325,0.156666666666667,0.200602054595947,2022-09-07,0.156666666666667,"Low"
2022-11-01,0,0.135455486968438,0.103333333333333,0.201081827282906,2022-09-07,0.103333333333333,"Low"
2022-11-02,0,0.121587630319365,0.19,0.0760200172662735,2022-09-07,0.19,"Low"
2022-11-03,0,0.113971063490792,0.12,0.0682118237018585,2022-09-07,0.12,"Low"
2022-11-04,0,0.145681052078879,0.136666666666667,0.0543082803487778,2022-09-07,0.136666666666667,"Low"
2022-11-07,0,0.214075462500927,0.163333333333333,0.252787381410599,2022-09-07,0.163333333333333,"Low"
2022-11-08,0,0.285443256470821,0.09,0.0430752784013748,2022-09-07,0.09,"Low"
2022-11-09,0,0.422404652632363,0.206666666666667,0.0762835741043091,2022-09-07,0.206666666666667,"Low"
2022-11-10,0,0.565720314148607,0.346666666666667,0.422452628612518,2022-09-07,0.346666666666667,"Medium"
2022-11-11,0,0.607232824661839,0.183333333333333,0.335614919662476,2022-09-07,0.183333333333333,"Low"
2022-11-14,0,0.708843157200101,0.176666666666667,0.250479757785797,2022-09-07,0.176666666666667,"Low"
2022-11-15,0,0.549530103875705,0.143333333333333,0.250814527273178,2022-09-07,0.143333333333333,"Low"
2022-11-16,0,0.525425780706364,0.17,0.255529075860977,2022-09-07,0.17,"Low"
2022-11-17,0,0.655428848069151,0.193333333333333,0.247096553444862,2022-09-07,0.193333333333333,"Low"
2022-11-18,0,0.598435421744436,0.223333333333333,0.202121958136559,2022-09-07,0.223333333333333,"Low"
