"date","SPY","QQQ","IWM","TLT","GLD","VXX","XLC","XLY","XLP","XLE","XLF","XLV","XLI","XLK","XLB","XLU","XLRE"
2018-06-19,244.550094604492,167.447036743164,152.510513305664,96.5573577880859,120.800003051758,2101.69604492188,46.3243141174316,51.9163856506348,41.4710731506348,26.56422996521,23.583423614502,74.3443222045898,64.2529144287109,33.1801109313965,24.9780311584473,19.6860160827637,24.2351112365723
2018-06-20,244.967254638672,168.636260986328,153.740646362305,95.7112426757812,120.26000213623,2053.76000976562,46.8991813659668,52.1625480651855,41.5116806030273,26.6815223693848,23.5230617523193,74.5020065307617,64.2967758178711,33.2497825622559,24.8968925476074,19.7017040252686,24.4966926574707
2018-06-21,243.431625366211,167.171096801758,152.302474975586,96.2141494750977,120.050003051758,2189.43994140625,46.6117553710938,51.7909889221191,41.5928955078125,26.1874866485596,23.454080581665,74.0727310180664,63.4895553588867,32.9943084716797,24.6321239471436,19.7683868408203,24.6428756713867
2018-06-22,243.875381469727,166.800033569336,151.795883178711,96.2061309814453,120.339996337891,2132.47998046875,46.8157386779785,51.702751159668,41.9340133666992,26.7099475860596,23.3419780731201,74.4056549072266,63.708927154541,32.8874664306641,24.9908447265625,19.905668258667,24.8582992553711
2018-06-25,240.555603027344,163.041961669922,149.317565917969,96.4216995239258,119.889999389648,2438.39990234375,45.8514289855957,50.5787696838379,42.1451835632324,26.1732616424561,23.0919151306152,73.722297668457,62.9017066955566,32.2046279907227,24.6022262573242,20.2351360321045,24.796745300293
2018-06-26,241.088241577148,163.707916259766,150.185897827148,96.5573577880859,119.26000213623,2338.56005859375,45.9274597167969,50.9410285949707,41.9665145874023,26.503812789917,23.0143146514893,73.4945068359375,63.138599395752,32.3346977233887,24.6961765289307,20.2586765289307,24.9275455474854
2018-06-27,239.09098815918,161.481674194336,147.779891967773,97.46728515625,118.580001831055,2464,45.5268859863281,50.2815170288086,41.8771667480469,26.8592281341553,22.7297592163086,72.8724975585938,62.6296844482422,31.8934097290039,24.6193084716797,20.3567314147949,24.8582992553711
2018-06-28,240.4580078125,162.870742797852,148.232116699219,97.4912490844727,118.220001220703,2508.80004882812,45.9812393188477,50.6762962341309,41.8771667480469,26.8236846923828,22.9280872344971,72.9688568115234,62.7174415588379,32.2835884094238,24.713264465332,20.3488903045654,25.1044960021973
2018-06-29,240.804168701172,163.308395385742,148.13264465332,97.1559982299805,118.650001525879,2362.8798828125,45.9256019592285,50.7645416259766,41.8527908325195,26.9907360076904,22.9280872344971,73.117805480957,62.8490524291992,32.2696685791016,24.7986660003662,20.3802642822266,25.1660461425781
2018-07-02,241.318969726562,164.402481079102,149.154754638672,97.0800323486328,117.459999084473,2415.36010742188,46.2130508422852,50.8342056274414,41.6091461181641,26.5926628112793,23.0401763916016,73.3455963134766,62.9894485473633,32.5576553344727,24.66628074646,20.5253925323486,25.019868850708
2018-07-03,240.466796875,162.499694824219,149.749359130859,97.5999908447266,118.650001525879,2415.36010742188,45.6474304199219,50.5787696838379,41.7066078186035,26.7597122192383,22.8332290649414,73.5207977294922,62.7876510620117,32.1721115112305,24.6235790252686,20.5842247009277,25.1660461425781
2018-07-05,242.428604125977,164.516677856445,151.455978393555,97.8799743652344,119.050003051758,2314.23999023438,46.3428535461426,50.8295707702637,42.2832565307617,26.7312812805176,22.8849697113037,74.2829971313477,63.0947456359863,32.6273345947266,24.8371028900146,20.6940479278564,25.4968700408936
2018-07-06,244.47900390625,167.075927734375,152.735977172852,98.1999816894531,118.860000610352,2199.36010742188,47.075366973877,51.2289924621582,42.4132194519043,26.8947677612305,22.9970703125,75.3518295288086,63.3141021728516,33.0082321166992,24.9609451293945,20.8548622131348,25.6045894622803
2018-07-09,246.680404663086,168.579162597656,153.698211669922,97.568000793457,119.150001525879,2078.71997070312,47.3442649841309,51.8420677185059,42.2507820129395,27.2963962554932,23.5230617523193,75.9037399291992,64.4898071289062,33.2590637207031,25.1830177307129,20.2116012573242,25.3660888671875
2018-07-10,247.568084716797,168.702819824219,152.999267578125,97.5600051879883,118.930000305176,2034.56005859375,47.3247985839844,51.9535446166992,42.7543411254883,27.4989891052246,23.4368305206299,76.1928482055664,64.6916122436523,33.3380470275879,25.3965396881104,20.4037990570068,25.4891834259033
2018-07-11,245.757263183594,167.846557617188,151.701110839844,97.9359970092773,117.639999389648,2101.76000976562,47.2608070373535,51.8327903747559,42.6162567138672,26.9161033630371,23.324728012085,75.5883636474609,63.6299591064453,33.2079734802246,24.9694919586182,20.5881443023682,25.4122447967529
2018-07-12,247.985321044922,170.738815307617,152.436416625977,97.9280090332031,118.129997253418,2048,48.0025939941406,52.1764831542969,42.5594177246094,26.9622955322266,23.3678512573242,76.4293899536133,64.3757705688477,33.7328758239746,25.0292778015137,20.6038341522217,25.4737968444824
2018-07-13,248.180541992188,170.881530761719,151.982513427734,98.1760101318359,117.610000610352,2030.65600585938,47.9284133911133,52.2925987243652,42.835563659668,27.1044750213623,23.2643737792969,76.569580078125,64.7091522216797,33.695728302002,25.0164661407471,20.6077575683594,25.3891677856445
2018-07-16,247.958770751953,170.472442626953,151.392486572266,97.7680511474609,117.550003051758,1999.35998535156,47.7893218994141,52.4226455688477,42.6325263977051,26.7916965484619,23.6782684326172,76.1052322387695,64.4459457397461,33.6167449951172,24.8157501220703,20.5881443023682,25.2506771087646
2018-07-17,248.961807250977,171.509460449219,152.064178466797,97.5840225219727,116.279998779297,1966.07995605469,47.7986030578613,52.4737243652344,42.9980010986328,26.6850757598877,23.7041416168213,76.5257568359375,64.7003860473633,33.8675956726074,25.1403045654297,20.5724563598633,25.0814151763916
2018-07-18,249.485488891602,171.185989379883,152.490905761719,97.1920013427734,116.309997558594,1955.83996582031,47.6595230102539,52.441219329834,42.6487503051758,26.7028465270996,24.0835456848145,76.5870666503906,65.4110794067383,33.8118362426758,24.9054336547852,20.4665508270264,24.9890918731689
2018-07-19,248.544540405273,170.329711914062,153.571182250977,97.8080139160156,115.809997558594,1996.80004882812,47.3257179260254,52.3204574584961,42.6731262207031,26.7099475860596,23.7213859558105,76.1578216552734,65.3847808837891,33.6910667419434,24.9951076507568,20.6548271179199,25.2275981903076
2018-07-20,248.260513305664,170.291656494141,152.944778442383,96.6080322265625,116.559997558594,2001.08801269531,47.168098449707,52.0882225036621,42.933032989502,26.617546081543,23.7645034790039,76.0088729858398,65.3145751953125,33.7003402709961,24.8926181793213,20.5097026824951,25.0044841766357
2018-07-23,248.722076416016,170.834014892578,153.135360717773,95.416015625,116,2019.83996582031,47.3628082275391,52.0324935913086,42.6650047302246,26.5002574920654,24.0921688079834,76.1665649414062,64.9109802246094,33.8722381591797,24.7559642791748,20.3645725250244,24.9352378845215
2018-07-24,249.973693847656,171.538024902344,151.501373291016,95.7440490722656,116.040000915527,1967.35998535156,47.6966094970703,51.8792304992676,42.746223449707,26.8343467712402,24.161153793335,76.8586883544922,65.1829528808594,34.058032989502,25.0762557983398,20.4351768493652,24.8659973144531
2018-07-25,252.104019165039,173.935577392578,152.055114746094,95.5919876098633,116.680000305176,1949.43994140625,48.039680480957,52.2600708007812,43.071102142334,27.0582618713379,24.2128849029541,77.8398895263672,66.1744613647461,34.4853820800781,25.2726993560791,20.4940090179443,25.112190246582
2018-07-26,251.509292602539,171.300155639648,152.872161865234,95.4080200195312,115.769996643066,1954.56005859375,46.2278709411621,51.9860534667969,43.2985076904297,27.3532619476318,24.2042636871338,77.6208648681641,66.6833572387695,33.9558372497559,25.4178924560547,20.7136573791504,25.1968154907227
2018-07-27,249.804931640625,168.988235473633,150.021682739258,95.5680465698242,115.830001831055,2018.56005859375,45.3507194519043,51.8513565063477,43.3553771972656,27.2359752655029,24.2560005187988,77.0601959228516,66.6921234130859,33.3751907348633,25.3239421844482,20.6469783782959,24.9660091400146
2018-07-30,248.500228881836,166.600280761719,149.059417724609,95.2400207519531,115.650001525879,2056.32006835938,44.6367492675781,51.4380035400391,43.3066368103027,27.4598941802979,24.2732467651367,77.1039733886719,66.0340805053711,32.8549461364746,25.2769622802734,20.5214710235596,24.9429340362549
2018-07-31,249.725082397461,167.875122070312,150.575424194336,95.760009765625,115.98999786377,2008.31994628906,44.933479309082,51.6795120239258,43.5096893310547,27.4101409912109,24.100793838501,77.9099655151367,67.4905624389648,32.9431991577148,25.5075702667236,20.7058143615723,25.4276294708252
